num_leaves,leaves
10,"[3, 9, 10, 16, 22, 34, 35, 47, 92, 93]"
11,"[6, 9, 10, 11, 14, 15, 16, 34, 70, 142, 143]"
12,"[6, 8, 10, 11, 15, 18, 29, 38, 39, 56, 114, 115]"
15,"[5, 9, 13, 15, 16, 25, 29, 34, 35, 48, 49, 56, 115, 228, 229]"
11,"[5, 8, 9, 13, 14, 30, 31, 48, 49, 50, 51]"
13,"[5, 6, 9, 14, 31, 32, 34, 60, 61, 66, 67, 70, 71]"
14,"[3, 9, 16, 23, 34, 35, 41, 42, 43, 44, 45, 81, 160, 161]"
11,"[5, 6, 15, 17, 18, 19, 28, 29, 32, 66, 67]"
13,"[3, 8, 11, 18, 19, 41, 42, 80, 87, 162, 163, 172, 173]"
13,"[3, 5, 9, 34, 35, 64, 66, 67, 131, 261, 520, 1042, 1043]"
13,"[3, 10, 11, 19, 32, 34, 35, 36, 66, 67, 74, 150, 151]"
11,"[5, 6, 8, 14, 18, 19, 60, 61, 63, 124, 125]"
14,"[4, 6, 11, 14, 20, 21, 30, 62, 252, 255, 506, 507, 508, 509]"
8,"[3, 5, 8, 18, 39, 77, 152, 153]"
11,"[8, 10, 11, 13, 14, 18, 19, 24, 25, 30, 31]"
13,"[5, 12, 13, 14, 15, 16, 18, 34, 35, 38, 78, 158, 159]"
10,"[4, 10, 13, 14, 15, 23, 24, 25, 44, 45]"
10,"[5, 6, 8, 14, 18, 19, 31, 61, 120, 121]"
16,"[9, 11, 12, 13, 14, 16, 20, 31, 34, 35, 42, 61, 86, 87, 120, 121]"
11,"[5, 6, 7, 9, 17, 64, 66, 67, 130, 262, 263]"
10,"[6, 7, 9, 10, 16, 22, 34, 35, 46, 47]"
9,"[6, 7, 8, 10, 11, 18, 38, 78, 79]"
7,"[2, 6, 28, 29, 31, 60, 61]"
12,"[5, 8, 9, 13, 25, 28, 29, 30, 48, 49, 62, 63]"
9,"[3, 4, 22, 23, 40, 42, 43, 82, 83]"
9,"[5, 6, 15, 16, 17, 18, 19, 28, 29]"
7,"[4, 5, 13, 14, 15, 24, 25]"
17,"[6, 8, 10, 14, 18, 19, 22, 31, 60, 61, 92, 94, 95, 186, 375, 748, 749]"
11,"[3, 8, 18, 19, 22, 40, 41, 42, 43, 46, 47]"
9,"[4, 7, 10, 11, 13, 24, 50, 102, 103]"
12,"[5, 7, 8, 13, 18, 19, 49, 51, 96, 97, 100, 101]"
15,"[5, 6, 9, 17, 28, 29, 30, 32, 66, 67, 124, 125, 127, 252, 253]"
11,"[5, 6, 8, 15, 18, 19, 57, 58, 59, 112, 113]"
11,"[4, 5, 12, 13, 14, 30, 124, 125, 127, 252, 253]"
12,"[7, 8, 10, 13, 18, 22, 23, 25, 38, 39, 48, 49]"
9,"[5, 7, 9, 13, 16, 24, 25, 34, 35]"
12,"[3, 5, 9, 32, 35, 66, 67, 136, 138, 139, 274, 275]"
14,"[3, 8, 19, 20, 23, 36, 37, 42, 43, 45, 176, 177, 178, 179]"
16,"[4, 5, 24, 26, 27, 28, 50, 51, 58, 59, 60, 61, 62, 127, 252, 253]"
13,"[5, 6, 8, 18, 19, 28, 29, 61, 62, 63, 121, 240, 241]"
10,"[4, 10, 11, 13, 14, 24, 25, 31, 60, 61]"
14,"[4, 5, 14, 15, 25, 27, 48, 53, 98, 105, 198, 199, 208, 209]"
10,"[5, 6, 9, 14, 15, 16, 34, 70, 142, 143]"
18,"[4, 5, 24, 25, 26, 27, 28, 30, 63, 117, 119, 124, 125, 232, 236, 237, 466, 467]"
10,"[5, 8, 9, 12, 14, 26, 27, 31, 60, 61]"
12,"[4, 10, 12, 14, 22, 23, 26, 27, 30, 63, 124, 125]"
12,"[4, 7, 10, 11, 13, 48, 51, 98, 99, 101, 200, 201]"
13,"[8, 10, 11, 13, 14, 18, 19, 25, 30, 31, 48, 98, 99]"
14,"[5, 6, 9, 15, 28, 29, 34, 35, 64, 66, 67, 130, 262, 263]"
12,"[2, 14, 25, 27, 31, 48, 49, 52, 60, 61, 106, 107]"
15,"[9, 10, 11, 13, 14, 15, 32, 34, 35, 48, 49, 50, 51, 66, 67]"
9,"[6, 9, 10, 11, 15, 16, 17, 28, 29]"
11,"[6, 9, 10, 11, 15, 17, 28, 29, 32, 66, 67]"
15,"[4, 7, 10, 12, 22, 23, 27, 104, 106, 210, 211, 215, 429, 856, 857]"
12,"[5, 9, 15, 16, 17, 25, 26, 27, 28, 29, 48, 49]"
21,"[5, 12, 14, 18, 19, 27, 32, 34, 35, 52, 53, 60, 61, 63, 67, 125, 132, 248, 249, 266, 267]"
14,"[5, 8, 14, 15, 18, 19, 26, 48, 49, 50, 51, 55, 108, 109]"
11,"[2, 6, 14, 60, 61, 62, 253, 254, 255, 504, 505]"
16,"[5, 6, 16, 18, 19, 28, 30, 34, 58, 59, 62, 70, 71, 127, 252, 253]"
12,"[4, 5, 12, 14, 30, 31, 53, 54, 55, 104, 210, 211]"
9,"[4, 5, 6, 14, 60, 61, 62, 126, 127]"
13,"[5, 12, 13, 16, 18, 19, 28, 29, 30, 34, 35, 62, 63]"
14,"[3, 9, 16, 21, 22, 23, 35, 41, 68, 80, 138, 139, 162, 163]"
9,"[4, 5, 7, 25, 26, 27, 48, 98, 99]"
12,"[5, 7, 9, 16, 24, 25, 27, 34, 52, 53, 70, 71]"
8,"[3, 5, 9, 16, 68, 69, 70, 71]"
11,"[2, 12, 14, 26, 31, 55, 60, 61, 108, 218, 219]"
12,"[2, 12, 15, 26, 27, 28, 58, 118, 239, 476, 954, 955]"
15,"[4, 10, 15, 23, 24, 25, 26, 27, 29, 44, 45, 57, 113, 224, 225]"
12,"[4, 11, 13, 14, 15, 20, 25, 42, 43, 48, 98, 99]"
12,"[5, 7, 9, 12, 16, 26, 27, 68, 70, 71, 138, 139]"
11,"[3, 16, 18, 19, 20, 21, 23, 34, 35, 44, 45]"
12,"[3, 10, 11, 16, 18, 34, 35, 39, 76, 155, 308, 309]"
10,"[4, 10, 11, 12, 15, 26, 28, 29, 54, 55]"
15,"[2, 13, 25, 28, 31, 48, 59, 60, 98, 116, 117, 122, 123, 198, 199]"
15,"[4, 5, 13, 14, 24, 50, 51, 60, 63, 122, 124, 125, 247, 492, 493]"
10,"[3, 9, 10, 11, 16, 68, 70, 71, 138, 139]"
13,"[6, 8, 9, 10, 22, 28, 29, 31, 47, 60, 61, 92, 93]"
13,"[4, 6, 7, 20, 23, 43, 45, 84, 88, 170, 171, 178, 179]"
12,"[5, 8, 12, 13, 18, 19, 28, 29, 30, 63, 124, 125]"
15,"[8, 10, 11, 13, 18, 24, 25, 28, 29, 31, 38, 39, 61, 120, 121]"
13,"[5, 8, 12, 13, 14, 18, 31, 38, 60, 61, 79, 156, 157]"
13,"[5, 7, 16, 18, 19, 24, 25, 26, 34, 35, 55, 108, 109]"
11,"[4, 10, 11, 12, 13, 14, 30, 63, 125, 248, 249]"
16,"[5, 9, 12, 13, 14, 16, 60, 61, 63, 68, 70, 71, 124, 125, 138, 139]"
10,"[3, 9, 10, 16, 22, 23, 35, 68, 138, 139]"
12,"[5, 8, 12, 18, 19, 26, 27, 28, 30, 31, 58, 59]"
13,"[7, 8, 10, 13, 18, 19, 23, 24, 44, 45, 50, 102, 103]"
10,"[3, 8, 9, 21, 22, 40, 46, 47, 82, 83]"
11,"[7, 9, 10, 11, 13, 16, 24, 34, 35, 50, 51]"
11,"[4, 6, 10, 22, 23, 28, 29, 30, 63, 124, 125]"
13,"[2, 13, 28, 29, 30, 48, 50, 51, 63, 98, 99, 124, 125]"
10,"[2, 15, 25, 26, 27, 29, 48, 49, 56, 57]"
12,"[5, 12, 13, 14, 16, 18, 30, 31, 34, 35, 38, 39]"
14,"[3, 8, 9, 11, 21, 40, 82, 166, 335, 669, 1336, 2675, 5348, 5349]"
10,"[5, 6, 14, 16, 18, 19, 30, 31, 34, 35]"
12,"[3, 4, 23, 40, 41, 42, 43, 45, 89, 176, 354, 355]"
15,"[5, 7, 8, 18, 26, 27, 39, 48, 49, 50, 51, 77, 152, 306, 307]"
14,"[3, 9, 21, 22, 32, 34, 35, 40, 41, 47, 66, 67, 92, 93]"
10,"[4, 6, 10, 11, 14, 30, 62, 127, 252, 253]"
12,"[5, 6, 9, 17, 28, 29, 30, 31, 33, 64, 130, 131]"
11,"[4, 7, 10, 11, 25, 26, 48, 54, 55, 98, 99]"
13,"[5, 7, 8, 12, 26, 36, 38, 39, 54, 55, 74, 150, 151]"
15,"[5, 8, 12, 15, 18, 19, 26, 28, 29, 55, 108, 218, 439, 876, 877]"
14,"[3, 8, 18, 20, 22, 39, 42, 43, 76, 77, 92, 93, 94, 95]"
14,"[8, 10, 12, 14, 18, 19, 22, 23, 26, 27, 30, 63, 124, 125]"
10,"[4, 5, 6, 28, 30, 58, 59, 63, 124, 125]"
12,"[6, 8, 9, 10, 15, 22, 28, 29, 47, 92, 186, 187]"
12,"[5, 6, 9, 15, 28, 29, 32, 35, 66, 67, 68, 69]"
17,"[5, 12, 13, 14, 16, 18, 19, 31, 60, 61, 68, 70, 138, 142, 143, 278, 279]"
13,"[6, 9, 11, 14, 16, 20, 21, 31, 34, 60, 61, 70, 71]"
11,"[5, 6, 8, 14, 18, 19, 30, 63, 125, 248, 249]"
12,"[4, 6, 10, 15, 28, 29, 44, 47, 90, 91, 92, 93]"
13,"[6, 8, 10, 11, 15, 18, 19, 28, 59, 232, 233, 234, 235]"
12,"[4, 5, 13, 15, 24, 28, 50, 51, 59, 116, 234, 235]"
6,"[4, 7, 10, 11, 12, 13]"
13,"[4, 10, 11, 12, 26, 27, 29, 30, 56, 57, 63, 124, 125]"
15,"[6, 9, 11, 20, 21, 28, 29, 30, 31, 32, 34, 35, 66, 134, 135]"
10,"[4, 5, 14, 24, 26, 27, 30, 31, 50, 51]"
11,"[4, 10, 11, 13, 14, 15, 48, 50, 51, 98, 99]"
12,"[4, 10, 11, 13, 14, 30, 31, 48, 50, 51, 98, 99]"
17,"[5, 9, 13, 14, 16, 24, 25, 30, 34, 35, 62, 127, 252, 507, 1013, 2024, 2025]"
11,"[4, 5, 13, 14, 24, 30, 31, 100, 101, 102, 103]"
14,"[5, 12, 14, 15, 16, 18, 19, 26, 34, 55, 70, 71, 108, 109]"
9,"[3, 8, 10, 11, 36, 38, 39, 74, 75]"
10,"[3, 5, 16, 17, 36, 37, 38, 79, 156, 157]"
15,"[5, 8, 13, 14, 18, 19, 24, 30, 50, 62, 102, 103, 127, 252, 253]"
11,"[5, 8, 12, 13, 14, 18, 19, 31, 61, 120, 121]"
10,"[4, 5, 12, 13, 14, 60, 62, 63, 122, 123]"
12,"[9, 10, 11, 12, 13, 16, 17, 28, 29, 30, 62, 63]"
15,"[4, 10, 13, 14, 22, 24, 30, 47, 50, 51, 63, 92, 93, 124, 125]"
11,"[9, 10, 12, 13, 14, 15, 16, 22, 23, 34, 35]"
13,"[5, 9, 12, 14, 15, 26, 27, 32, 34, 66, 67, 70, 71]"
11,"[4, 5, 13, 14, 25, 30, 31, 48, 98, 198, 199]"
9,"[3, 8, 18, 19, 20, 21, 22, 46, 47]"
14,"[3, 11, 16, 18, 20, 34, 39, 42, 43, 70, 71, 76, 154, 155]"
13,"[4, 10, 11, 13, 15, 28, 29, 48, 51, 98, 99, 100, 101]"
11,"[4, 13, 14, 15, 21, 22, 23, 24, 25, 40, 41]"
9,"[4, 11, 13, 14, 15, 20, 21, 24, 25]"
13,"[3, 9, 17, 20, 21, 22, 46, 47, 64, 66, 67, 130, 131]"
10,"[5, 6, 9, 15, 16, 28, 29, 34, 70, 71]"
8,"[7, 8, 10, 11, 12, 13, 18, 19]"
10,"[7, 8, 10, 12, 18, 19, 22, 23, 26, 27]"
14,"[4, 6, 10, 14, 22, 30, 47, 92, 93, 124, 125, 127, 252, 253]"
12,"[5, 8, 9, 13, 24, 25, 28, 29, 30, 63, 124, 125]"
15,"[5, 6, 16, 18, 19, 31, 34, 35, 56, 58, 59, 60, 61, 114, 115]"
12,"[5, 6, 9, 14, 15, 34, 35, 64, 66, 67, 130, 131]"
13,"[4, 7, 10, 22, 24, 26, 27, 47, 50, 51, 92, 186, 187]"
14,"[4, 7, 12, 20, 22, 23, 26, 27, 84, 85, 86, 175, 348, 349]"
12,"[5, 9, 12, 14, 16, 17, 26, 27, 60, 61, 62, 63]"
8,"[2, 13, 14, 15, 25, 48, 98, 99]"
8,"[5, 6, 9, 14, 15, 16, 34, 35]"
11,"[6, 7, 9, 10, 11, 32, 34, 66, 67, 70, 71]"
10,"[3, 8, 10, 11, 18, 39, 76, 155, 308, 309]"
10,"[3, 5, 16, 34, 35, 36, 37, 39, 76, 77]"
9,"[4, 6, 10, 11, 28, 29, 31, 60, 61]"
13,"[5, 7, 8, 9, 13, 48, 51, 98, 100, 198, 199, 202, 203]"
12,"[5, 8, 12, 13, 15, 18, 29, 38, 39, 57, 112, 113]"
11,"[3, 10, 16, 18, 19, 23, 34, 44, 45, 70, 71]"
11,"[5, 8, 13, 15, 18, 19, 24, 25, 28, 58, 59]"
13,"[6, 10, 11, 15, 17, 18, 19, 28, 29, 32, 66, 134, 135]"
12,"[5, 7, 8, 12, 26, 27, 37, 38, 72, 73, 78, 79]"
18,"[5, 8, 14, 18, 24, 26, 27, 31, 38, 50, 51, 60, 61, 78, 158, 319, 636, 637]"
11,"[6, 7, 9, 10, 11, 32, 34, 35, 66, 134, 135]"
9,"[5, 7, 8, 12, 13, 19, 36, 74, 75]"
12,"[5, 8, 9, 12, 13, 14, 30, 124, 125, 127, 252, 253]"
12,"[2, 13, 14, 25, 30, 49, 62, 63, 97, 192, 386, 387]"
19,"[3, 9, 11, 16, 17, 21, 41, 160, 162, 323, 644, 653, 655, 1290, 1291, 1304, 1305, 1308, 1309]"
11,"[4, 10, 11, 12, 14, 26, 27, 31, 61, 120, 121]"
13,"[4, 5, 13, 14, 24, 31, 51, 60, 100, 101, 123, 244, 245]"
11,"[8, 10, 11, 12, 13, 14, 18, 19, 30, 62, 63]"
12,"[4, 5, 13, 14, 24, 25, 31, 61, 120, 242, 486, 487]"
13,"[4, 10, 11, 12, 15, 26, 28, 29, 54, 110, 223, 444, 445]"
8,"[2, 12, 14, 27, 30, 31, 52, 53]"
12,"[7, 9, 10, 12, 13, 17, 22, 23, 32, 67, 132, 133]"
15,"[5, 6, 8, 18, 28, 31, 39, 58, 59, 60, 61, 77, 152, 306, 307]"
14,"[9, 10, 13, 14, 15, 16, 22, 23, 24, 34, 35, 51, 100, 101]"
10,"[5, 6, 7, 16, 19, 34, 35, 36, 74, 75]"
13,"[4, 7, 10, 13, 22, 23, 24, 51, 200, 202, 203, 402, 403]"
15,"[4, 10, 11, 24, 26, 27, 29, 31, 50, 51, 56, 60, 61, 114, 115]"
11,"[4, 7, 11, 12, 13, 40, 41, 42, 86, 174, 175]"
16,"[8, 10, 11, 13, 15, 18, 19, 24, 25, 29, 56, 115, 229, 456, 914, 915]"
12,"[5, 6, 7, 8, 18, 39, 77, 304, 305, 306, 614, 615]"
12,"[6, 7, 8, 9, 21, 22, 40, 41, 46, 95, 188, 189]"
9,"[6, 8, 9, 11, 15, 20, 21, 28, 29]"
11,"[4, 6, 10, 11, 28, 31, 58, 59, 60, 122, 123]"
10,"[5, 8, 9, 12, 13, 15, 28, 58, 118, 119]"
12,"[6, 8, 10, 11, 18, 19, 28, 29, 60, 61, 62, 63]"
14,"[5, 6, 8, 15, 18, 19, 56, 57, 59, 116, 234, 471, 940, 941]"
11,"[5, 8, 12, 13, 14, 18, 19, 31, 61, 120, 121]"
12,"[4, 7, 12, 13, 21, 40, 41, 44, 46, 47, 90, 91]"
10,"[2, 12, 13, 15, 28, 59, 116, 235, 468, 469]"
15,"[7, 8, 12, 13, 18, 19, 20, 22, 42, 47, 86, 92, 93, 174, 175]"
11,"[3, 9, 10, 11, 32, 34, 66, 67, 71, 140, 141]"
12,"[5, 12, 13, 15, 16, 18, 19, 28, 29, 34, 70, 71]"
12,"[5, 8, 15, 18, 19, 24, 25, 27, 28, 29, 52, 53]"
13,"[9, 10, 11, 12, 15, 16, 26, 27, 28, 34, 35, 58, 59]"
12,"[5, 8, 9, 14, 15, 24, 27, 50, 52, 53, 102, 103]"
13,"[4, 6, 11, 15, 21, 29, 41, 56, 57, 81, 160, 322, 323]"
